Question 92: Expected 5 alternatives, found 3
Question 117: Found only 1 alternatives. Skipping question.
Question 113: Found only 1 alternatives. Skipping question.
Question 141: Found only 1 alternatives. Skipping question.
Question 154: Found only 0 alternatives. Skipping question.
Question 119: Found only 1 alternatives. Skipping question.
Question 114: Found only 1 alternatives. Skipping question.
Question 142: Found only 0 alternatives. Skipping question.
Question 155: Found only 1 alternatives. Skipping question.
Question 121: Found only 1 alternatives. Skipping question.
Question 116: Found only 1 alternatives. Skipping question.
Question 143: Found only 1 alternatives. Skipping question.
Question 157: Found only 0 alternatives. Skipping question.
Question 123: Found only 0 alternatives. Skipping question.
Question 118: Found only 0 alternatives. Skipping question.
Question 144: Found only 0 alternatives. Skipping question.
Question 158: Found only 0 alternatives. Skipping question.
Question 128: Found only 1 alternatives. Skipping question.
Question 122: Found only 1 alternatives. Skipping question.
Question 145: Found only 1 alternatives. Skipping question.
Question 161: Found only 1 alternatives. Skipping question.
Question 132: Expected 5 alternatives, found 4
Question 124: Found only 2 alternatives. Skipping question.
Question 146: Found only 2 alternatives. Skipping question.
Question 163: Found only 2 alternatives. Skipping question.
Question 134: Found only 2 alternatives. Skipping question.
Question 128: Found only 1 alternatives. Skipping question.
Question 147: Found only 1 alternatives. Skipping question.
Question 164: Found only 0 alternatives. Skipping question.
Question 136: Found only 1 alternatives. Skipping question.
Question 132: Expected 5 alternatives, found 3
Question 148: Found only 1 alternatives. Skipping question.
Question 166: Found only 0 alternatives. Skipping question.
Question 137: Found only 1 alternatives. Skipping question.
Question 135: Expected 5 alternatives, found 4
Question 149: Found only 1 alternatives. Skipping question.
Question 167: Found only 1 alternatives. Skipping question.
Question 140: Found only 1 alternatives. Skipping question.
Question 137: Found only 2 alternatives. Skipping question.
Question 150: Found only 0 alternatives. Skipping question.
Question 171: Found only 2 alternatives. Skipping question.
Question 142: Found only 0 alternatives. Skipping question.
Question 138: Found only 0 alternatives. Skipping question.
Question 151: Found only 1 alternatives. Skipping question.
Question 172: Found only 2 alternatives. Skipping question.
Question 143: Found only 0 alternatives. Skipping question.
Question 139: Found only 0 alternatives. Skipping question.
Question 152: Found only 1 alternatives. Skipping question.
Question 173: Found only 0 alternatives. Skipping question.
Question 145: Found only 0 alternatives. Skipping question.
Question 141: Found only 1 alternatives. Skipping question.
Question 154: Found only 1 alternatives. Skipping question.
Question 175: Found only 1 alternatives. Skipping question.
Question 146: Found only 1 alternatives. Skipping question.
Question 142: Found only 1 alternatives. Skipping question.
Question 155: Found only 0 alternatives. Skipping question.
Question 176: Found only 1 alternatives. Skipping question.
Question 148: Found only 2 alternatives. Skipping question.
Question 143: Found only 1 alternatives. Skipping question.
Question 156: Found only 1 alternatives. Skipping question.
Question 177: Found only 1 alternatives. Skipping question.
Question 149: Found only 0 alternatives. Skipping question.
Question 145: Found only 1 alternatives. Skipping question.
Question 157: Found only 1 alternatives. Skipping question.
Question 178: Found only 1 alternatives. Skipping question.
Question 152: Found only 2 alternatives. Skipping question.
Question 147: Found only 1 alternatives. Skipping question.
Question 158: Found only 1 alternatives. Skipping question.
Question 153: Found only 0 alternatives. Skipping question.
Question 148: Found only 0 alternatives. Skipping question.
Question 159: Found only 1 alternatives. Skipping question.
Question 154: Found only 0 alternatives. Skipping question.
Question 150: Found only 0 alternatives. Skipping question.
Question 160: Found only 2 alternatives. Skipping question.
Question 156: Found only 2 alternatives. Skipping question.
Question 151: Found only 1 alternatives. Skipping question.
Question 161: Found only 0 alternatives. Skipping question.
Question 157: Found only 1 alternatives. Skipping question.
Question 154: Found only 2 alternatives. Skipping question.
Question 162: Found only 0 alternatives. Skipping question.
Question 158: Found only 1 alternatives. Skipping question.
Question 155: Found only 0 alternatives. Skipping question.
Question 163: Expected 5 alternatives, found 4
Question 159: Found only 1 alternatives. Skipping question.
Question 157: Found only 1 alternatives. Skipping question.
Question 165: Found only 2 alternatives. Skipping question.
Question 160: Found only 1 alternatives. Skipping question.
Question 158: Found only 1 alternatives. Skipping question.
Question 166: Found only 2 alternatives. Skipping question.
Question 163: Found only 1 alternatives. Skipping question.
Question 160: Found only 0 alternatives. Skipping question.
Question 167: Found only 0 alternatives. Skipping question.
Question 164: Found only 0 alternatives. Skipping question.
Question 161: Found only 0 alternatives. Skipping question.
Question 169: Found only 0 alternatives. Skipping question.
Question 165: Found only 1 alternatives. Skipping question.
Question 163: Found only 1 alternatives. Skipping question.
Question 170: Found only 1 alternatives. Skipping question.
Question 168: Found only 2 alternatives. Skipping question.
Question 166: Found only 0 alternatives. Skipping question.
Question 171: Expected 5 alternatives, found 3
Question 169: Found only 1 alternatives. Skipping question.
Question 167: Found only 1 alternatives. Skipping question.
Question 172: Found only 0 alternatives. Skipping question.
Question 171: Found only 0 alternatives. Skipping question.
Question 169: Found only 2 alternatives. Skipping question.
Question 173: Found only 0 alternatives. Skipping question.
Question 172: Found only 1 alternatives. Skipping question.
Question 170: Found only 1 alternatives. Skipping question.
Question 176: Found only 1 alternatives. Skipping question.
Question 176: Found only 2 alternatives. Skipping question.
Question 172: Found only 1 alternatives. Skipping question.
Question 177: Found only 1 alternatives. Skipping question.
Question 179: Found only 0 alternatives. Skipping question.
Question 173: Found only 0 alternatives. Skipping question.
Question 178: Found only 1 alternatives. Skipping question.
Question 174: Found only 1 alternatives. Skipping question.
Question 179: Found only 1 alternatives. Skipping question.
Question 178: Found only 2 alternatives. Skipping question.
